day,platform,content,utm_source,utm_medium,utm_campaign,destination_url,click_note
1,youtube,d01_inventory,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d01_inventory,"Profile website link; caption must not promise a clickable URL"
1,tiktok,d01_inventory,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d01_inventory,"Profile website link; caption must not promise a clickable URL"
1,facebook,d01_inventory,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d01_inventory,"Direct click destination"
2,youtube,d02_threat_model,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d02_threat_model,"Profile website link; caption must not promise a clickable URL"
2,tiktok,d02_threat_model,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d02_threat_model,"Profile website link; caption must not promise a clickable URL"
2,facebook,d02_threat_model,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d02_threat_model,"Direct click destination"
3,youtube,d03_secrets,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d03_secrets,"Profile website link; caption must not promise a clickable URL"
3,tiktok,d03_secrets,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d03_secrets,"Profile website link; caption must not promise a clickable URL"
3,facebook,d03_secrets,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d03_secrets,"Direct click destination"
4,youtube,d04_device_map,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d04_device_map,"Profile website link; caption must not promise a clickable URL"
4,tiktok,d04_device_map,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d04_device_map,"Profile website link; caption must not promise a clickable URL"
4,facebook,d04_device_map,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d04_device_map,"Direct click destination"
5,youtube,d05_conversation,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d05_conversation,"Profile website link; caption must not promise a clickable URL"
5,tiktok,d05_conversation,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d05_conversation,"Profile website link; caption must not promise a clickable URL"
5,facebook,d05_conversation,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d05_conversation,"Direct click destination"
6,youtube,d06_locations,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d06_locations,"Profile website link; caption must not promise a clickable URL"
6,tiktok,d06_locations,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d06_locations,"Profile website link; caption must not promise a clickable URL"
6,facebook,d06_locations,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d06_locations,"Direct click destination"
7,youtube,d07_week1,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d07_week1,"Profile website link; caption must not promise a clickable URL"
7,tiktok,d07_week1,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d07_week1,"Profile website link; caption must not promise a clickable URL"
7,facebook,d07_week1,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d07_week1,"Direct click destination"
8,youtube,d08_durable_instructions,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d08_durable_instructions,"Profile website link; caption must not promise a clickable URL"
8,tiktok,d08_durable_instructions,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d08_durable_instructions,"Profile website link; caption must not promise a clickable URL"
8,facebook,d08_durable_instructions,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d08_durable_instructions,"Direct click destination"
9,youtube,d09_roles,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d09_roles,"Profile website link; caption must not promise a clickable URL"
9,tiktok,d09_roles,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d09_roles,"Profile website link; caption must not promise a clickable URL"
9,facebook,d09_roles,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d09_roles,"Direct click destination"
10,youtube,d10_scams,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d10_scams,"Profile website link; caption must not promise a clickable URL"
10,tiktok,d10_scams,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d10_scams,"Profile website link; caption must not promise a clickable URL"
10,facebook,d10_scams,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d10_scams,"Direct click destination"
11,youtube,d11_dry_run,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d11_dry_run,"Profile website link; caption must not promise a clickable URL"
